t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
170,8026,6521,1505,10109,2854,0.28232,320,344,368,3136,1,1,0,0,63.97,0.21,4,122,63.97,1996,0,0,0
171,8012,6510,1502,9979,2660,0.26656,320,344,360,61,1,0,0,0,63.97,0.54,4,122,63.97,0,0,0,0
172,8063,6550,1513,10346,3161,0.30553,328,352,360,172,1,0,0,0,63.97,0.00,0,122,63.97,0,0,0,0
173,8010,6509,1501,9391,2123,0.22607,328,352,360,248,1,1,0,0,63.97,0.18,2,121,63.97,950,0,0,0
174,8008,6506,1502,9450,2002,0.21185,336,352,360,70,1,0,0,0,63.97,0.14,1,121,63.97,0,0,0,0
175,8011,6509,1502,9893,2472,0.24987,328,352,360,59,1,0,0,0,63.97,0.00,0,121,63.97,0,0,0,0
176,8053,6544,1509,9508,2656,0.27934,320,352,360,1728,1,1,0,0,63.81,0.42,8,120,63.82,1616,0,0,0
177,8068,6556,1512,10213,2863,0.28033,320,344,360,672,1,0,0,0,63.96,0.17,3,120,63.96,0,0,0,0
178,8014,6512,1502,9659,2288,0.23688,328,352,360,74,1,0,0,0,63.97,0.12,1,120,63.97,0,0,0,0
179,8007,6504,1503,9841,2202,0.22376,320,344,352,928,1,1,0,0,62.69,0.26,5,119,62.71,1278,0,0,0
180,8083,6568,1515,9723,2403,0.24715,328,344,360,63,1,0,0,0,63.96,0.00,0,119,63.96,0,0,0,0
